,symbol,name,date,type
0,A,AGILENT TECHNOLOGIES INC,2021-02-19,N/A
1,AA,ALCOA CORP,2021-02-19,N/A
2,AAA,AAF FIRST PRIORITY CLO BOND,2021-02-19,N/A
3,AAAU,GOLDMAN SACHS PHYSICAL GOLD,2021-02-19,N/A
4,AAC=,ARES ACQUISITION CORP,2021-02-19,N/A
5,AACG,ATA CREATIVITY GLOBAL - ADR,2021-02-19,N/A
6,AACQ,ARTIUS ACQUISITION INC-CL A,2021-02-19,N/A
7,AACQU,ARTIUS ACQUISITION INC,2021-02-19,N/A
8,AACQW,,2021-02-19,N/A
9,AADR,ADVISORSHARES DORSEY WRIGHT,2021-02-19,N/A
10,AAIC,ARLINGTON ASSET INVESTMENT-A,2021-02-19,N/A
11,AAIC-B,,2021-02-19,N/A
12,AAIC-C,,2021-02-19,N/A
13,AAL,AMERICAN AIRLINES GROUP INC,2021-02-19,N/A
14,AAMC,ALTISOURCE ASSET MANAGEMENT,2021-02-19,N/A
15,AAME,ATLANTIC AMERICAN CORP,2021-02-19,N/A
16,AAN,AARON'S CO INC/THE,2021-02-19,N/A
17,AAOI,APPLIED OPTOELECTRONICS INC,2021-02-19,N/A
18,AAON,AAON INC,2021-02-19,N/A
19,AAP,ADVANCE AUTO PARTS INC,2021-02-19,N/A
20,AAPL,APPLE INC,2021-02-19,N/A
21,AAT,AMERICAN ASSETS TRUST INC,2021-02-19,N/A
22,AAU,ALMADEN MINERALS LTD - B,2021-02-19,N/A
23,AAWW,ATLAS AIR WORLDWIDE HOLDINGS,2021-02-19,N/A
24,AAXJ,ISHARES MSCI ALL COUNTRY ASI,2021-02-19,N/A
25,AB,ALLIANCEBERNSTEIN HOLDING LP,2021-02-19,N/A
26,ABB,ABB LTD-SPON ADR,2021-02-19,N/A
27,ABBV,ABBVIE INC,2021-02-19,N/A
28,ABC,AMERISOURCEBERGEN CORP,2021-02-19,N/A
29,ABCB,AMERIS BANCORP,2021-02-19,N/A
30,ABCL,ABCELLERA BIOLOGICS INC,2021-02-19,N/A
31,ABCM,ABCAM PLC-SPON ADR,2021-02-19,N/A
32,ABEO,ABEONA THERAPEUTICS INC,2021-02-19,N/A
33,ABEQ,ABSOLUTE CORE STRATEGY ETF,2021-02-19,N/A
34,ABEV,AMBEV SA-ADR,2021-02-19,N/A
35,ABG,ASBURY AUTOMOTIVE GROUP,2021-02-19,N/A
36,ABGI,ABG ACQUISITION CORP I - A,2021-02-19,N/A
37,ABIO,ARCA BIOPHARMA INC,2021-02-19,N/A
38,ABM,ABM INDUSTRIES INC,2021-02-19,N/A
39,ABMD,ABIOMED INC,2021-02-19,N/A
40,ABNB,AIRBNB INC-CLASS A,2021-02-19,N/A
41,ABR,ARBOR REALTY TRUST INC,2021-02-19,N/A
42,ABR-A,,2021-02-19,N/A
43,ABR-B,,2021-02-19,N/A
44,ABR-C,,2021-02-19,N/A
45,ABST,ABSOLUTE SOFTWARE CORPORATIO,2021-02-19,N/A
46,ABT,ABBOTT LABORATORIES,2021-02-19,N/A
47,ABTX,ALLEGIANCE BANCSHARES INC,2021-02-19,N/A
48,ABUS,ARBUTUS BIOPHARMA CORP,2021-02-19,N/A
49,AC,ASSOCIATED CAPITAL GROUP - A,2021-02-19,N/A
50,ACA,ARCOSA INC,2021-02-19,N/A
51,ACAC,ACIES ACQUISITION CORP-CL A,2021-02-19,N/A
52,ACACU,ACIES ACQUISITION CORP,2021-02-19,N/A
53,ACACW,,2021-02-19,N/A
54,ACAD,ACADIA PHARMACEUTICALS INC,2021-02-19,N/A
55,ACB,AURORA CANNABIS INC,2021-02-19,N/A
56,ACBI,ATLANTIC CAPITAL BANCSHARES,2021-02-19,N/A
57,ACC,AMERICAN CAMPUS COMMUNITIES,2021-02-19,N/A
58,ACCD,ACCOLADE INC,2021-02-19,N/A
59,ACCO,ACCO BRANDS CORP,2021-02-19,N/A
60,ACEL,ACCEL ENTERTAINMENT INC,2021-02-19,N/A
61,ACER,ACER THERAPEUTICS INC,2021-02-19,N/A
62,ACES,ALPS CLEAN ENERGY ETF,2021-02-19,N/A
63,ACET,ADICET BIO INC,2021-02-19,N/A
64,ACEV,ACE CONVERGENCE ACQU-CLASS A,2021-02-19,N/A
65,ACEVU,ACE CONVERGENCE ACQUISITION,2021-02-19,N/A
66,ACEVW,,2021-02-19,N/A
67,ACGL,ARCH CAPITAL GROUP LTD,2021-02-19,N/A
68,ACGLO,,2021-02-19,N/A
69,ACGLP,,2021-02-19,N/A
70,ACH,ALUMINUM CORP OF CHINA-ADR,2021-02-19,N/A
71,ACHC,ACADIA HEALTHCARE CO INC,2021-02-19,N/A
72,ACHV,ACHIEVE LIFE SCIENCES INC,2021-02-19,N/A
73,ACI,ALBERTSONS COS INC - CLASS A,2021-02-19,N/A
74,ACIA,ACACIA COMMUNICATIONS INC,2021-02-19,N/A
75,ACIC,ATLAS CREST INVESTMENT COR-A,2021-02-19,N/A
76,ACIC+,,2021-02-19,N/A
77,ACIC=,ATLAS CREST INVESTMENT CORP,2021-02-19,N/A
78,ACII=,ATLAS CREST INVESTMENT CORP,2021-02-19,N/A
79,ACIO,APTUS COLLARED INC OPP ETF,2021-02-19,N/A
80,ACIU,AC IMMUNE SA,2021-02-19,N/A
81,ACIW,ACI WORLDWIDE INC,2021-02-19,N/A
82,ACKIT,ACKRELL SPAC PARTNERS-SUBUNI,2021-02-19,N/A
